개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202630000000800463,서울특별시 종로구청,서울특별시 종로구 북촌로 134-1 (삼청공원),,생활방범,2,200,360도 전방면,30,202005,02-2148-3033,37.58785,126.9843,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800464,서울특별시 종로구청,서울특별시 종로구 북촌로 134-1 (삼청공원),,생활방범,2,200,360도 전방면,30,202005,02-2148-3033,37.58774,126.9839,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800465,서울특별시 종로구청,서울특별시 종로구 효자로 29 (마을마당공원),,생활방범,3,200,360도 전방면,30,202005,02-2148-3033,37.57865,126.9736,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800991,서울특별시 종로구청,서울특별시 종로구 숭인동2길 30,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.57814,127.0202,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:22
3000000,202630000000800993,서울특별시 종로구청,서울특별시 종로구 난계로29길 49,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.5738,127.0204,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:22
3000000,202630000000800994,서울특별시 종로구청,서울특별시 종로구 숭인동1길 41,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.57657,127.0196,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:22
3000000,202630000000800995,서울특별시 종로구청,서울특별시 종로구 종로63가길 46,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.57607,127.0189,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:22
3000000,202630000000800327,서울특별시 종로구청,,서울특별시 종로구 견지동 39,생활방범,3,200,360도 전방면,30,202405,02-2148-3033,37.57442,126.9822,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800854,서울특별시 종로구청,서울특별시 종로구 필운대로 33-7,,생활방범,3,200,360도 전방면,30,201612,02-2148-3033,37.57906,126.9683,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:21
3000000,202630000000800332,서울특별시 종로구청,,서울특별시 종로구 궁정동 17-4,생활방범,2,200,360도 전방면,30,202405,02-2148-3033,37.58421,126.9713,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800333,서울특별시 종로구청,,서울특별시 종로구 궁정동 17-6,생활방범,3,200,360도 전방면,30,202405,02-2148-3033,37.58418,126.9717,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800334,서울특별시 종로구청,,서울특별시 종로구 궁정동 69-1,생활방범,3,200,360도 전방면,30,202405,02-2148-3033,37.58395,126.9722,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000801010,서울특별시 종로구청,서울특별시 종로구 지봉로11길 34-1,,생활방범,1,200,360도 전방면,30,202212,02-2148-3033,37.57701,127.0135,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:23
3000000,202630000000800829,서울특별시 종로구청,서울특별시 종로구 명륜7길 36,,생활방범,3,200,360도 전방면,30,201709,02-2148-3033,37.59028,126.9948,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:21
3000000,202630000000800324,서울특별시 종로구청,,서울특별시 종로구 내수동 71-2,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57351,126.9706,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800426,서울특별시 종로구청,서울특별시 종로구 옥인동179-1,,생활방범,2,200,360도 전방면,30,202305,02-2148-3033,37.58337,126.9642,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800427,서울특별시 종로구청,서울특별시 종로구 옥인동179-1,,생활방범,2,200,360도 전방면,30,202305,02-2148-3033,37.58326,126.9646,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800940,서울특별시 종로구청,서울특별시 종로구 통일로 266,,생활방범,3,200,360도 전방면,30,201412,02-2148-3033,37.57609,126.9568,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800939,서울특별시 종로구청,서울특별시 종로구 사직로1길 47,,생활방범,3,200,360도 전방면,30,201412,02-2148-3033,37.57419,126.9618,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800962,서울특별시 종로구청,서울특별시 종로구 종로44길 29,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.57069,127.0119,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800325,서울특별시 종로구청,,서울특별시 종로구 내수동 71-2,생활방범,2,200,360도 전방면,30,202404,02-2148-3033,37.5738,126.9702,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800423,서울특별시 종로구청,서울특별시 종로구 사직동 산1-24(사직근린공원),,생활방범,2,200,360도 전방면,30,202308,02-2148-3033,37.57827,126.9634,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800963,서울특별시 종로구청,서울특별시 종로구 지봉로11길 13,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.57678,127.0146,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800956,서울특별시 종로구청,서울특별시 종로구 창덕궁3길 33,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.58245,126.9884,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800957,서울특별시 종로구청,서울특별시 종로구 세검정로9길 51,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.60526,126.9602,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800958,서울특별시 종로구청,서울특별시 종로구 율곡로3길 49,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.57729,126.9825,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800421,서울특별시 종로구청,서울특별시 종로구 신문로2가 170-1,,생활방범,1,200,360도 전방면,30,202310,02-2148-3033,37.56936,126.9696,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800422,서울특별시 종로구청,서울특별시 종로구 사직동 산1-24(사직근린공원),,생활방범,2,200,360도 전방면,30,202308,02-2148-3033,37.57835,126.9631,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800326,서울특별시 종로구청,,서울특별시 종로구 내수동 71-2,생활방범,4,200,360도 전방면,30,202404,02-2148-3033,37.57399,126.9699,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800441,서울특별시 종로구청,서울특별시 종로구 성균관로 13길 (와룡공원),,생활방범,2,200,360도 전방면,30,202204,02-2148-3033,37.59115,126.9953,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800442,서울특별시 종로구청,서울특별시 종로구 자하문로 35길 (청운공원),,생활방범,2,200,360도 전방면,30,202112,02-2148-3033,37.58877,126.966,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800443,서울특별시 종로구청,서울특별시 종로구 자하문로 35길 (청운공원),,생활방범,2,200,360도 전방면,30,202112,02-2148-3033,37.58882,126.9665,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800445,서울특별시 종로구청,서울특별시 종로구 자하문로 35길 (청운공원),,생활방범,2,200,360도 전방면,30,202112,02-2148-3033,37.58845,126.9659,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800444,서울특별시 종로구청,서울특별시 종로구 자하문로 35길 (청운공원),,생활방범,2,200,360도 전방면,30,202112,02-2148-3033,37.58861,126.9662,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800309,서울특별시 종로구청,,서울특별시 종로구 연지동 1-38,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57577,127.0006,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800310,서울특별시 종로구청,,서울특별시 종로구 연지동 1-38,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57588,127.001,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800460,서울특별시 종로구청,서울특별시 종로구 내수동 73-3 (내수공원),,생활방범,2,200,360도 전방면,30,202007,02-2148-3033,37.5724,126.9718,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800462,서울특별시 종로구청,서울특별시 종로구 북촌로 134-1 (삼청공원),,생활방범,2,200,360도 전방면,30,202005,02-2148-3033,37.58956,126.9834,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800461,서울특별시 종로구청,서울특별시 종로구 북촌로 134-1 (삼청공원),,생활방범,3,200,360도 전방면,30,202005,02-2148-3033,37.58987,126.9843,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800954,서울특별시 종로구청,서울특별시 종로구 수표로26길 22,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.57229,126.9903,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800955,서울특별시 종로구청,서울특별시 종로구 종로11길 9-20,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.5709,126.985,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800425,서울특별시 종로구청,서울특별시 종로구 옥인동179-1,,생활방범,2,200,360도 전방면,30,202305,02-2148-3033,37.58431,126.9647,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800424,서울특별시 종로구청,서울특별시 종로구 인왕산로 172,,생활방범,3,200,360도 전방면,30,202305,02-2148-3033,37.58231,126.9647,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800321,서울특별시 종로구청,,서울특별시 종로구 원서동 181,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57863,126.9888,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800322,서울특별시 종로구청,,서울특별시 종로구 내수동 73-3,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57209,126.9717,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800323,서울특별시 종로구청,,서울특별시 종로구 내수동 73-3,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57259,126.9715,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800961,서울특별시 종로구청,서울특별시 종로구 돈화문로9길 26,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.57171,126.9905,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800959,서울특별시 종로구청,서울특별시 종로구 자하문로 3,,생활방범,4,200,360도 전방면,30,201312,02-2148-3033,37.57653,126.9724,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800960,서울특별시 종로구청,서울특별시 종로구 자하문로36길 16,,생활방범,3,200,360도 전방면,30,201312,02-2148-3033,37.59027,126.9683,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:22
3000000,202630000000800311,서울특별시 종로구청,,서울특별시 종로구 인의동 123,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57145,126.9794,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800312,서울특별시 종로구청,,서울특별시 종로구 인의동 123,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57157,126.9798,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800313,서울특별시 종로구청,,서울특별시 종로구 인의동 123,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57137,126.9799,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800428,서울특별시 종로구청,서울특별시 종로구 옥인동183-4,,생활방범,2,200,360도 전방면,30,202305,02-2148-3033,37.58254,126.964,2026-05-18,,2026-05-19 22:58:22,2026-05-18 15:24:18
3000000,202630000000800314,서울특별시 종로구청,,서울특별시 종로구 인의동 123,생활방범,3,200,360도 전방면,30,202404,02-2148-3033,37.57832,126.9889,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:17
3000000,202630000000800467,서울특별시 종로구청,서울특별시 종로구 필운대로 68 (세종마을 어린이놀이터),,생활방범,3,200,360도 전방면,30,201911,02-2148-3033,37.58221,126.9682,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800468,서울특별시 종로구청,서울특별시 종로구 새문안로 79,,생활방범,3,200,360도 전방면,30,201911,02-2148-3033,37.57088,126.9737,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800469,서울특별시 종로구청,서울특별시 종로구 새문안로 79,,생활방범,3,200,360도 전방면,30,201911,02-2148-3033,37.57108,126.9736,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800473,서울특별시 종로구청,서울특별시 종로구 창신6가길 39 (산마루놀이터),,생활방범,2,200,360도 전방면,30,201811,02-2148-3033,37.57569,127.0124,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800470,서울특별시 종로구청,서울특별시 종로구 무악동 46-2100,,생활방범,2,200,360도 전방면,30,201812,02-2148-3033,37.57376,126.9601,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800471,서울특별시 종로구청,서울특별시 종로구 창신6가길 39 (산마루놀이터),,생활방범,2,200,360도 전방면,30,201811,02-2148-3033,37.57569,127.0124,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800472,서울특별시 종로구청,서울특별시 종로구 창신6가길 39 (산마루놀이터),,생활방범,2,200,360도 전방면,30,201811,02-2148-3033,37.57569,127.0124,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800475,서울특별시 종로구청,서울특별시 종로구 창신6가길 39 (산마루놀이터),,생활방범,2,200,360도 전방면,30,201811,02-2148-3033,37.57569,127.0124,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800476,서울특별시 종로구청,서울특별시 종로구 창신6가길 39 (산마루놀이터),,생활방범,2,200,360도 전방면,30,201811,02-2148-3033,37.57569,127.0124,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800477,서울특별시 종로구청,서울특별시 종로구 동망산길 150 (숭인공원),,생활방범,2,200,360도 전방면,30,201810,02-2148-3033,37.57767,127.018,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800478,서울특별시 종로구청,서울특별시 종로구 동망산길 150 (숭인공원),,생활방범,2,200,360도 전방면,30,201810,02-2148-3033,37.57804,127.0182,2026-05-18,,2026-05-19 22:58:23,2026-05-18 15:24:18
3000000,202630000000800870,서울특별시 종로구청,서울특별시 종로구 명륜6길 8-2,,생활방범,3,200,360도 전방면,30,201612,02-2148-3033,37.59008,126.9931,2026-05-18,,2026-05-19 22:58:21,2026-05-18 15:24:21
