보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
개포1동001  TS ,1,,서울특별시 강남구 개포동 570,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동002  TS ,1,,서울특별시 강남구 개포동 571-1,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동003  TS ,1,,서울특별시 강남구 개포동 572-1,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동004  TS ,1,,서울특별시 강남구 개포동 571-1,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동006  TS ,1,,서울특별시 강남구 개포동 570,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동007  TS ,1,,서울특별시 강남구 개포동 599,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동008  TS ,1,,서울특별시 강남구 개포동 599,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동009  TS ,1,,서울특별시 강남구 개포동 597-9,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동010  TS ,1,,서울특별시 강남구 개포동 598-1,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동011  TS ,1,,서울특별시 강남구 개포동 산156-2,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동012  TS ,1,,서울특별시 강남구 개포동 산156-2,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동013  TS ,1,,서울특별시 강남구 개포동 589-49,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동014  TS ,1,,서울특별시 강남구 개포동 589-29,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동015  TS ,1,,서울특별시 강남구 개포동 589-19,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동016  TS ,1,,서울특별시 강남구 개포동 601,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동017  TS ,1,,서울특별시 강남구 개포동 606-1,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동018  TS ,1,,서울특별시 강남구 개포동 606-1,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동019  TS ,1,,서울특별시 강남구 개포동 606-4,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동020  TS ,1,,서울특별시 강남구 개포동 606-6,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동021  TS ,1,,서울특별시 강남구 개포동 610-4,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동022  TS ,1,,서울특별시 강남구 개포동 610-4,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동023  TS ,1,,서울특별시 강남구 개포동 산152-3,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동024  TS ,1,,서울특별시 강남구 개포동 산153,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동025  TS ,1,,서울특별시 강남구 개포동 612,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동026  TS ,1,,서울특별시 강남구 개포동 572-2,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동027  TS ,1,,서울특별시 강남구 개포동 573-25,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동028  TS ,1,,서울특별시 강남구 개포동 573,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동029  TS ,1,,서울특별시 강남구 개포동 573,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동030  TS ,1,,서울특별시 강남구 개포동 581,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동031  TS ,1,,서울특별시 강남구 개포동 567-5,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동032  TS ,1,,서울특별시 강남구 개포동 567-5,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동033  LS ,1,,서울특별시 강남구 개포동 567-23,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동034  LS ,1,,서울특별시 강남구 개포동 128-2,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동035  TS ,1,,서울특별시 강남구 개포동 127,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동036  TS ,1,,서울특별시 강남구 개포동 128-13,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동037  TS ,1,,서울특별시 강남구 개포동 124-3,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동038  TS ,1,,서울특별시 강남구 개포동 산149-1,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동039  TS ,1,,서울특별시 강남구 개포동 124-1,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동040  TS ,1,,서울특별시 강남구 개포동 산53-34,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동041  TS ,1,,서울특별시 강남구 개포동 118-63,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동042  TS ,1,,서울특별시 강남구 개포동 산53-22,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
개포1동043  TS ,1,,서울특별시 강남구 개포동 118-63,,,,,02-3423-6583,서울특별시 강남구청,2026-02-19
