보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
13-33-26,1,서울특별시 강북구 삼각산로4나길 32,,37.63669089,127.0069169,2000,전용주,02-901-5868,서울특별시 강북구청,2025-08-12
13-33-25,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5867,서울특별시 강북구청,2025-08-12
13-33-24,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5866,서울특별시 강북구청,2025-08-12
13-33-23,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5865,서울특별시 강북구청,2025-08-12
13-33-22,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5864,서울특별시 강북구청,2025-08-12
13-33-21,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-20,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-19,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-18,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-17,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-16,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-15,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-14,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-13,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-12,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-11,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-10,1,서울특별시 강북구 삼각산로 5,,37.63785114,127.0056016,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-09,1,서울특별시 강북구 인수봉로55길 168,,37.63597202,127.0028703,2000,,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-08,1,서울특별시 강북구 인수봉로55길 168,,37.63597202,127.0028703,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-07,1,서울특별시 강북구 인수봉로55길 168,,37.63597202,127.0028703,2000,,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-06,1,서울특별시 강북구 인수봉로55길 168,,37.63597202,127.0028703,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-05,1,서울특별시 강북구 인수봉로55길 168,,37.63597202,127.0028703,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-04,1,서울특별시 강북구 삼각산로4나길 32,,37.63669089,127.0069169,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-03,1,서울특별시 강북구 삼각산로4나길 32,,37.63669089,127.0069169,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-02,1,서울특별시 강북구 삼각산로4나길 32,,37.63669089,127.0069169,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-33-01,2,서울특별시 강북구 삼각산로4나길 32,,37.63669089,127.0069169,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-50,1,서울특별시 강북구 인수봉로55가길 16,,37.63615428,127.0095413,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-36,1,서울특별시 강북구 인수봉로55길 67,,37.63658823,127.0086405,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-35,1,서울특별시 강북구 인수봉로55가길 2,,37.63664135,127.0096029,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-34,1,서울특별시 강북구 인수봉로55가길 12,,37.63619165,127.0096995,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-33,1,서울특별시 강북구 인수봉로55가길 16,,37.63615219,127.0092921,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-32,1,서울특별시 강북구 인수봉로55가길 18,,37.63601165,127.0097245,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-31,1,서울특별시 강북구 인수봉로55가길 21,,37.63580671,127.0099991,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-30,1,서울특별시 강북구 인수봉로55가길 24,,37.63568741,127.0097401,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-29,2,서울특별시 강북구 인수봉로55가길 16,,37.63564719,127.0092421,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-28,1,서울특별시 강북구 인수봉로55가길 16,,37.63564719,127.0092421,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-27,1,서울특별시 강북구 인수봉로55가길 30,,37.63545241,127.0096526,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-26,2,서울특별시 강북구 인수봉로55가길 30,,37.63545241,127.0096526,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-25,1,서울특별시 강북구 인수봉로55가길 30,,37.63545241,127.0096526,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-24,1,서울특별시 강북구 인수봉로55가길 30,,37.63545241,127.0096526,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-23,1,서울특별시 강북구 인수봉로55가길 30,,37.63545241,127.0096526,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-22,1,서울특별시 강북구 인수봉로55가길 27,,37.63550706,127.0099697,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-21,1,서울특별시 강북구 인수봉로55가길 30,,37.63545241,127.0096526,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-20,1,서울특별시 강북구 인수봉로55길 39,,37.63549319,127.0102186,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-19,2,서울특별시 강북구 인수봉로55길 39,,37.63549319,127.0102186,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-18,1,서울특별시 강북구 인수봉로55길 39,,37.63549319,127.0102186,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-17,1,서울특별시 강북구 인수봉로55길 39,,37.63549319,127.0102186,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-16,1,서울특별시 강북구 인수봉로55길 39,,37.63549319,127.0102186,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-15,1,서울특별시 강북구 인수봉로55길 39,,37.63549319,127.0102186,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-14,1,서울특별시 강북구 인수봉로55길 43,,37.63665235,127.0103934,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-13,2,서울특별시 강북구 인수봉로55길 43,,37.63665235,127.0103934,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-12,2,서울특별시 강북구 인수봉로55길 43,,37.63665235,127.0103894,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-11,1,서울특별시 강북구 인수봉로55길 47,,37.63663719,127.0102124,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-10,1,서울특별시 강북구 인수봉로55길 41,,37.63663093,127.0105094,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-08,1,서울특별시 강북구 인수봉로55길 39,,37.63635325,127.0107057,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-07,2,서울특별시 강북구 인수봉로55길 39,,37.6361009,127.0106977,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-06,1,서울특별시 강북구 인수봉로55길 39,,37.635730,127.0105213,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-05,1,서울특별시 강북구 인수봉로51길 42,,37.63550141,127.010717,2000,,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-03,1,서울특별시 강북구 인수봉로55길 33,,37.63559751,127.0108403,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-02,1,서울특별시 강북구 인수봉로55길 33,,37.63631845,127.0108535,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-32-01,1,서울특별시 강북구 인수봉로55길 33,,37.63667873,127.0108374,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-22,1,서울특별시 강북구 도봉로81길 21,,37.63495849,127.0217483,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-21,1,서울특별시 강북구 도봉로81길 39,,37.63486005,127.0207412,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-20,1,서울특별시 강북구 도봉로81길 48,,37.63507712,127.0203611,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-19,1,서울특별시 강북구 도봉로81길 48,,37.63507712,127.0203851,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-18,1,서울특별시 강북구 도봉로81길 48,,37.63507336,127.0203872,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-17,2,서울특별시 강북구 도봉로81길 50,,37.63505384,127.0202061,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-16,1,서울특별시 강북구 덕릉로19길 17,,37.63500579,127.0198442,2000,,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-15,1,서울특별시 강북구 덕릉로19길 19,,37.63508631,127.0197752,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-14,1,서울특별시 강북구 노해로3길 59,,37.63532093,127.0198174,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-13,1,서울특별시 강북구 노해로3길 53,,37.63535941,127.0201115,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-12,1,서울특별시 강북구 수유로 58,,37.63563917,127.0200628,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-11,2,서울특별시 강북구 노해로3길 45,,37.63551585,127.020506,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-10,1,서울특별시 강북구 도봉로81길 42,,37.63510156,127.0207566,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-09,1,서울특별시 강북구 도봉로81길 43,,37.63488595,127.0206049,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-08,1,서울특별시 강북구 도봉로81길 38,,37.6351046,127.0208966,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-07,1,서울특별시 강북구 도봉로81길 37,,37.63491617,127.0209897,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-06,1,서울특별시 강북구 도봉로81길 21,,37.63495849,127.0217483,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-05,1,서울특별시 강북구 도봉로81길 23,,37.63491167,127.0215336,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-04,2,서울특별시 강북구 도봉로81길 23,,37.63500166,127.0215211,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-31-02,2,서울특별시 강북구 수유로 64,,37.63585211,127.0207156,2000,전용주,02-901-5863,서울특별시 강북구청,2025-08-12
13-30-21,1,서울특별시 강북구 도봉로81길 24,,37.6351932,127.021683,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
13-30-19,1,서울특별시 강북구 도봉로81길 30,,37.63515947,127.0213815,2000,한전주,02-901-5863,서울특별시 강북구청,2025-08-12
13-30-18,1,서울특별시 강북구 도봉로81길 30,,37.63515947,127.0213548,2000,건축물,02-901-5863,서울특별시 강북구청,2025-08-12
