보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
가양1동001,1,서울특별시 강서구 강서로 527,서울특별시 강서구 가양동 1456-12,37.5725027764,126.8420421666,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동002,1,서울특별시 강서구 강서로 521,서울특별시 강서구 가양동 1457,37.5721764903,126.8416789224,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동003,1,서울특별시 강서구 강서로 521,서울특별시 강서구 가양동 1457,37.5721764903,126.8416789224,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동004,1,서울특별시 강서구 강서로 519-42,서울특별시 강서구 가양동 225-1,37.571836,126.841092,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동005,1,서울특별시 강서구 강서로 519-17,서울특별시 강서구 가양동 198-5,37.5716603384,126.840866,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동006,1,서울특별시 강서구 양천로49길 56-2,서울특별시 강서구 가양동 195-1,37.571546,126.840702,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동007,1,서울특별시 강서구 강서로 519-54,서울특별시 강서구 가양동 231-9,37.5715364519,126.840546,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동008,1,서울특별시 강서구 양천로49길 68-6,서울특별시 강서구 가양동 238-1,37.5717991796,126.8402932722,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동009,1,서울특별시 강서구 양천로47나길 48-13,서울특별시 강서구 가양동 231-18,37.5720433178,126.840265,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동010,1,서울특별시 강서구 양천로47나길 48-6,서울특별시 강서구 가양동 236-4,37.572358,126.840029037,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동011,1,서울특별시 강서구 양천로47나길 48-6,서울특별시 강서구 가양동 236-4,37.5723429322,126.840053,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동012,1,서울특별시 강서구 양천로47나길 48-1,서울특별시 강서구 가양동 231-2,37.5726643386,126.8403113478,,전용주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동013,1,서울특별시 강서구 양천로47나길 52-14,서울특별시 강서구 가양동 231-1,37.5731097218,126.8404607263,,전용주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동015,1,서울특별시 강서구 양천로47나길 53,서울특별시 강서구 가양동 234,37.5728947177,126.8399748793,,전용주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동016,1,서울특별시 강서구 양천로47나길 45,서울특별시 강서구 가양동 235-2,37.572723682,126.8398220865,,전용주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동017,1,서울특별시 강서구 양천로47나길 42,서울특별시 강서구 가양동 236-2,37.5722358002,126.839823,,전용주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동018,1,서울특별시 강서구 양천로49길 80,서울특별시 강서구 가양동 236-7,37.572076289,126.8397344991,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동019,1,서울특별시 강서구 양천로49길68-16,,37.5719005139,126.8401397855,,전용주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동020,1,서울특별시 강서구 양천로49길 80,서울특별시 강서구 가양동 236-7,37.572076289,126.8397344991,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동021,1,서울특별시 강서구 양천로49길 68-2,서울특별시 강서구 가양동 238-10,37.571682,126.8402268316,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동022,1,서울특별시 강서구 양천로49길 56-3,서울특별시 강서구 가양동 238-7,37.571412,126.8404193133,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동023,1,서울특별시 강서구 양천로49길 54,서울특별시 강서구 가양동 194-2,37.5711015931,126.8407997333,,전용주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동024,1,서울특별시 강서구 강서로 511-11,서울특별시 강서구 가양동 197-4,37.5711637366,126.8411155339,,전용주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동025,1,서울특별시 강서구 강서로 511-18,서울특별시 강서구 가양동 198-8,37.571514,126.8411367632,,건축물,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동026,1,서울특별시 강서구 강서로 511-11,서울특별시 강서구 가양동 197-4,37.571188,126.8411155339,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동027,1,서울특별시 강서구 강서로 505,서울특별시 강서구 가양동 190,37.5705593213,126.8414295787,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
가양1동028,1,서울특별시 강서구 양천로49길 34,서울특별시 강서구 가양동 187-7,37.570220554,126.8408987304,,한전주,02-2600-6582,서울특별시 강서구청,2026-04-13
