보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
낙성대001,1,서울특별시 관악구 관악로 172,서울특별시 관악구 봉천동 857-4,37.48051271,126.9529494,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대002,1,서울특별시 관악구 관악로 168,서울특별시 관악구 봉천동 856-1,37.48021593,126.9529848,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대003,1,서울특별시 관악구 남부순환로224길 25,서울특별시 관악구 봉천동 854-3,37.47977863,126.9533423,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대004,1,서울특별시 관악구 남부순환로224길 29,서울특별시 관악구 봉천동 854-15,37.47958454,126.9533122,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대005,1,서울특별시 관악구 관악로 158,서울특별시 관악구 봉천동 856-6,37.47931044,126.9528083,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대006,1,서울특별시 관악구 관악로 154-11,서울특별시 관악구 봉천동 855-6,37.47897781,126.9530979,,,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대007,1,서울특별시 관악구 남부순환로226길 40,서울특별시 관악구 봉천동 1598-7,37.47893198,126.9534104,,,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대008,1,서울특별시 관악구 남부순환로226길 40,서울특별시 관악구 봉천동 1598-7,37.47893198,126.9534104,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대009,1,서울특별시 관악구 관악로 154-11,서울특별시 관악구 봉천동 855-6,37.47897781,126.9530979,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대010,1,서울특별시 관악구 관악로 154,서울특별시 관악구 봉천동 1598-1,37.4789168,126.952621,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대011,1,서울특별시 관악구 관악로12길 3-12,서울특별시 관악구 봉천동 1598-27,37.47866233,126.9527895,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대012,1,서울특별시 관악구 관악로 148,서울특별시 관악구 봉천동 1598-20,37.47845709,126.9525843,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대013,1,서울특별시 관악구 관악로12길 5,서울특별시 관악구 봉천동 1598-23,37.47825191,126.9527635,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대014,1,서울특별시 관악구 남부순환로226길 41,서울특별시 관악구 봉천동 1604-3,37.47867372,126.9537944,,,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대015,1,서울특별시 관악구 관악로12길 25-9,서울특별시 관악구 봉천동 1604-31,37.4785229,126.9538025,,,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대016,1,서울특별시 관악구 관악로12길 25-9,서울특별시 관악구 봉천동 1604-31,37.4785229,126.9538025,,전용주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대017,1,서울특별시 관악구 관악로12길 29,서울특별시 관악구 봉천동 1604-39,37.47836956,126.9540825,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대018,1,서울특별시 관악구 관악로12길 33,서울특별시 관악구 봉천동 1604-48,37.47821894,126.9543911,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
낙성대019,1,서울특별시 관악구 관악로12길 35,서울특별시 관악구 봉천동 1604-52,37.47815252,126.9545878,,한전주,02-879-6783,서울특별시 관악구청,2025-11-20
