보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
광장동001,1,,서울특별시 광진구 광장동 111,37.5513412338,127.1104198864,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동002,1,,서울특별시 광진구 광장동 104,37.5517328042,127.1106976,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동003,1,,서울특별시 광진구 광장동 141-3,37.5514687844,127.1098666762,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동006,1,,서울특별시 광진구 광장동 107,37.55152617,127.1098198822,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동007,1,,서울특별시 광진구 광장동 108,37.5513551601,127.1100758789,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동008,1,,서울특별시 광진구 광장동 108,37.5513551601,127.1100758789,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동009,1,,서울특별시 광진구 광장동 108,37.55131917,127.1100758789,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동010,1,,서울특별시 광진구 광장동 114,37.5507930951,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동011,1,,서울특별시 광진구 광장동 118,37.5510413156,127.1094262935,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동012,1,,서울특별시 광진구 광장동 114,37.5507930951,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동013,1,,서울특별시 광진구 광장동 114,37.5507930951,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동014,1,,서울특별시 광진구 광장동 120,37.55077817,127.1092624643,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동015,1,,서울특별시 광진구 광장동 114,37.55071317,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동016,1,,서울특별시 광진구 광장동 114,37.5507930951,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동017,1,,서울특별시 광진구 광장동 114,37.5507930951,127.1099066609,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동018,1,,서울특별시 광진구 광장동 112,37.5510729138,127.1106154953,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동019,1,,서울특별시 광진구 광장동 127,37.5499874404,127.1101776399,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동020,1,,서울특별시 광진구 광장동 125,37.5501150529,127.109854062,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동021,1,,서울특별시 광진구 광장동 121,37.55032917,127.1092971036,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동022,1,,서울특별시 광진구 광장동 124,37.5497371772,127.1096046,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동023,1,,서울특별시 광진구 광장동 124,37.5497371772,127.1096571667,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동024,1,,서울특별시 광진구 광장동 124,37.5497371772,127.1096571667,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동025,1,,서울특별시 광진구 광장동 131-1,37.5494264388,127.1099307951,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동026,1,,서울특별시 광진구 광장동 124,37.5497371772,127.1096571667,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동027,1,,서울특별시 광진구 광장동 148-4,37.5498672688,127.1092436,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동028,1,,서울특별시 광진구 광장동 131-1,37.5494264388,127.1099307951,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동029,1,,서울특별시 광진구 광장동 148-6,37.54915817,127.1084465051,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동030,1,,서울특별시 광진구 광장동 148-6,37.54913117,127.1084465051,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동031,1,,서울특별시 광진구 광장동 131-1,37.5494264388,127.1099307951,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동032,1,,서울특별시 광진구 광장동 184-1,37.5484524239,127.1089974696,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동033,1,,서울특별시 광진구 광장동 131-1,37.5494264388,127.1099307951,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동034,1,,서울특별시 광진구 광장동 148-21,37.548782252,127.1088318263,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동035,1,,서울특별시 광진구 광장동 184-1,37.5484524239,127.1089974696,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동036,1,,서울특별시 광진구 광장동 182-2,37.5485312533,127.1084177,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동037,1,,서울특별시 광진구 광장동 339-1,37.5485381083,127.1078204743,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동038,1,,서울특별시 광진구 광장동 339-17,37.54825917,127.1078077929,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동039,1,,서울특별시 광진구 중곡동 275-11,37.5586835155,127.0837452384,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동040,1,,서울특별시 광진구 광장동 184-10,37.5482285347,127.1086126,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동041,1,,서울특별시 광진구 광장동 320-4,37.5473372798,127.1076850228,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동042,1,,서울특별시 광진구 광장동 323-7,37.547882782,127.1080506069,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동043,1,,서울특별시 광진구 광장동 322-6,37.5472001409,127.1076062574,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동044,1,,서울특별시 광진구 광장동 326-4,37.547311243,127.1072001691,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동045,1,,서울특별시 광진구 광장동 326-6,37.5471542426,127.1069532538,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동046,1,,서울특별시 광진구 광장동 320-4,37.5473372798,127.1076850228,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동047,1,,서울특별시 광진구 광장동 326-9,37.54719617,127.1068167187,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동048,1,,서울특별시 광진구 광장동 320-6,37.54688317,127.1074726,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동049,1,,서울특별시 광진구 광장동 322-8,37.54702917,127.1072986,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동050,1,,서울특별시 광진구 광장동 339-3,37.5483363767,127.1078183731,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동051,1,,서울특별시 광진구 광장동 339-8,37.5482424332,127.1076696,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동052,1,,서울특별시 광진구 광장동 334-16,37.5481387837,127.1067746,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동053,1,,서울특별시 광진구 광장동 334-17,37.54818617,127.1066186,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동055,1,,서울특별시 광진구 광장동 334-14,37.5482892813,127.1066406,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동056,1,,서울특별시 광진구 광장동 276-13,37.5480031742,127.1060726,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동057,1,,서울특별시 광진구 광장동 332-5,37.548029445,127.1062852637,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동058,1,,서울특별시 광진구 광장동 276-29,37.54847117,127.1060997637,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동059,1,,서울특별시 광진구 광장동 332-9,37.5489275478,127.1067981509,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동060,1,,서울특별시 광진구 광장동 276-30,37.5487137424,127.1059965377,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동061,1,,서울특별시 광진구 광장동 145-8,37.5513211276,127.107604826,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동062,1,,서울특별시 광진구 광장동 276,37.5483358986,127.1058572654,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동063,1,,서울특별시 광진구 광장동 276-10,37.5485916365,127.1060195632,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동064,1,,서울특별시 광진구 광장동 276-16,37.5485750166,127.1057644705,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동065,1,,서울특별시 광진구 광장동 276-12,37.5485457061,127.1058807956,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동066,1,,서울특별시 광진구 광장동 276-1,37.5490167692,127.1056715083,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동067,1,,서울특별시 광진구 광장동 350-1,37.54927617,127.1051527157,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동068,1,,서울특별시 광진구 광장동 350-1,37.5492222995,127.1051527157,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동069,1,,서울특별시 광진구 광장동 276-19,37.54888117,127.1056444438,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동070,1,,서울특별시 광진구 광장동 275-1,37.5485440396,127.105644474,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동071,1,,서울특별시 광진구 광장동 272-2,37.5485408932,127.1052328963,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동072,1,,서울특별시 광진구 광장동 272-23,37.5483288482,127.1056186615,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동073,1,,서울특별시 광진구 광장동 272-6,37.5482553534,127.1055507076,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동074,1,,서울특별시 광진구 광장동 280-1,37.5478876249,127.1056862097,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동075,1,,서울특별시 광진구 광장동 272-2,37.5485408932,127.1052536,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동076,1,,서울특별시 광진구 광장동 350-4,37.54888517,127.1052634917,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동077,1,,서울특별시 광진구 광장동 350-3,37.5489281661,127.1052061683,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동078,1,,서울특별시 광진구 광장동 271-14,37.5486902335,127.1045286,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동079,1,,서울특별시 광진구 광장동 264-1,37.5481117283,127.1042746,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동080,1,,서울특별시 광진구 광장동 354-3,37.5486726934,127.1038601228,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동081,1,,서울특별시 광진구 광장동 271-1,37.5486611766,127.1048276021,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동082,1,,서울특별시 광진구 광장동 270-1,37.5484376383,127.1048281944,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동083,1,,서울특별시 광진구 광장동 272-33,37.54841417,127.1050166,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동084,1,,서울특별시 광진구 광장동 285-3,37.5481127263,127.1048417715,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동085,1,,서울특별시 광진구 광장동 285-8,37.5481802308,127.1049209665,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동086,1,,서울특별시 광진구 광장동 272-10,37.5482916348,127.1053446,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동087,1,,서울특별시 광진구 광장동 285-3,37.54814617,127.1048896,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동088,1,,서울특별시 광진구 광장동 285-10,37.5479442274,127.104819,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동089,1,,서울특별시 광진구 광장동 285-31,37.5479695269,127.104977818,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동090,1,,서울특별시 광진구 광장동 272-21,37.5479989686,127.1055067787,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동091,1,,서울특별시 광진구 광장동 285-31,37.5479695269,127.104977818,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동092,1,,서울특별시 광진구 광장동 285-12,37.5477162212,127.1047128909,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동093,1,,서울특별시 광진구 광장동 264-11,37.54795117,127.1046006,,건축물,02-450-7873,서울특별시 광진구청,2025-12-23
광장동094,1,,서울특별시 광진구 광장동 259-3,37.5471829714,127.1040433646,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동095,1,,서울특별시 광진구 광장동 288-16,37.5472716455,127.1043676,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동097,1,,서울특별시 광진구 광장동 256-1,37.5468455353,127.1038524468,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동098,1,,서울특별시 광진구 광장동 248-3,37.5466033869,127.1032932139,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동099,1,,서울특별시 광진구 광장동 248-24,37.54689023,127.1030097932,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동100,1,,서울특별시 광진구 광장동 248-24,37.5468827638,127.1030097932,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동101,1,,서울특별시 광진구 광장동 245-1,37.5461237476,127.1029170026,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동102,1,,서울특별시 광진구 광장동 245-2,37.5463246728,127.1030240755,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동103,1,,서울특별시 광진구 광장동 247-2,37.5464664069,127.1026826,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동104,1,,서울특별시 광진구 광장동 248-25,37.5465599066,127.1023961,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동105,1,,서울특별시 광진구 광장동 248-20,37.5466139827,127.1021956,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동106,1,,서울특별시 광진구 광장동 246-9,37.5461112342,127.102601019,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동107,1,,서울특별시 광진구 광장동 245-16,37.54623017,127.1029526,,한전주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동108,1,,서울특별시 광진구 광장동 246-10,37.54606417,127.1027774632,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동109,1,,서울특별시 광진구 광장동 244-27,37.5458398861,127.1033416,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동110,1,,서울특별시 광진구 광장동 239-6,37.5457221989,127.1037172481,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동111,1,,서울특별시 광진구 광장동 239-6,37.5457221989,127.1037172481,,,02-450-7873,서울특별시 광진구청,2025-12-23
광장동112,1,,서울특별시 광진구 광장동 240-1,37.5456165038,127.1041426,,전용주,02-450-7873,서울특별시 광진구청,2025-12-23
광장동113,1,,서울특별시 광진구 광장동 245-1,37.5461237476,127.1029170026,,,02-450-7873,서울특별시 광진구청,2025-12-23
