보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
가리봉동,1,서울특별시 구로구 우마1가길 8-3,서울특별시 구로구 가리봉동 102,37.4825353,126.8887777,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 구로동로2가길 23,서울특별시 구로구 가리봉동 105-6,37.48309213,126.8881291,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마1나길 14,서울특별시 구로구 가리봉동 107-31,37.483805,126.8889957,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마2길 19,서울특별시 구로구 가리봉동 110-2,37.4822186,126.8890019,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마1가길 14-5,서울특별시 구로구 가리봉동 110-3,37.48228738,126.8888714,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마1가길 5-4,서울특별시 구로구 가리봉동 110-4,37.4828564,126.8891257,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마1가길 16,서울특별시 구로구 가리봉동 110-7,37.4824202,126.8890584,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,,서울특별시 구로구 가리봉동 113-2,37.4836472,126.8894277,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마2가길 21,서울특별시 구로구 가리봉동 113,37.48350438,126.8898699,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,,서울특별시 구로구 가리봉동 115-5,37.4834657,126.8912814,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 디지털로27길 73,서울특별시 구로구 가리봉동 115-54,37.4840048,126.889847,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마2가길 18-3,서울특별시 구로구 가리봉동 115-73,37.4834387,126.8902474,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마2길 35,서울특별시 구로구 가리봉동 118-11,37.4825577,126.8897181,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,,서울특별시 구로구 가리봉동 118-40,37.4824197,126.889778,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마3길 5,서울특별시 구로구 가리봉동 123-76,37.4816602,126.888587,2010,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마3길 3,서울특별시 구로구 가리봉동 123-77,37.48154118,126.888448,2020,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,,서울특별시 구로구 가리봉동 124-23,37.4815603,126.8874256,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 남부순환로105길 112,서울특별시 구로구 가리봉동 124-33,37.48139537,126.8873868,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마길 30-6,서울특별시 구로구 가리봉동 125-12,37.480348,126.8887966,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,,서울특별시 구로구 가리봉동 125-24,37.4803588,126.8883292,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마길 24-4,서울특별시 구로구 가리봉동 125-7,37.48081068,126.8884665,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마길 24-5,서울특별시 구로구 가리봉동 125-8,37.4806199,126.8885793,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 남부순환로105라길 19,서울특별시 구로구 가리봉동 126-45,37.4806912,126.8896078,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 우마길 23-8,서울특별시 구로구 가리봉동 126-52,37.4807446,126.8892466,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 남부순환로105라길 15,서울특별시 구로구 가리봉동 126-54,37.4805617,126.8893482,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 남부순환로105라길 6-7,서울특별시 구로구 가리봉동 127-15,37.4799344,126.8895815,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 디지털로19길 6-22,서울특별시 구로구 가리봉동 131-15,37.480705,126.8909335,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 디지털로19길 30-4,서울특별시 구로구 가리봉동 131-28,37.48114667,126.8899866,2016,한전주,02-860-2407,서울특별시 구로구청,2025-07-04
가리봉동,1,서울특별시 구로구 남부순환로105라길 32,서울특별시 구로구 가리봉동 131-40,37.4804273,126.8902548,2016,건축물,02-860-2407,서울특별시 구로구청,2025-07-04
