보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
월계1동 1,1,서울특별시 노원구 화랑로43길 2-12,서울특별시 노원구 월계1동 493-16,37.61474991,127.0632523,,건축물,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 2,1,서울특별시 노원구 화랑로43길2-2,서울특별시 노원구 월계1동 493-20,37.61456553,127.0632582,,전용주,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 3,1,서울특별시 노원구 화랑로43길2-32,서울특별시 노원구 월계1동 493-8,37.61461817,127.0629974,,,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 4,1,서울특별시 노원구 화랑로43길6,서울특별시 노원구 월계1동 479-39,37.61484729,127.0630392,,전용주,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 5,1,서울특별시 노원구 화랑로43길2-26,서울특별시 노원구 월계1동 493-10,37.61445913,127.0629249,,전용주,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 6,1,서울특별시 노원구 화랑로43길2-34,서울특별시 노원구 월계1동 493-19,37.61459527,127.0627259,,전용주,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 7,1,서울특별시 노원구 화랑로43길2-15,서울특별시 노원구 월계1동 493-4,37.61476523,127.0627407,,전용주,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 8,1,서울특별시 노원구 화랑로43길 4-10,서울특별시 노원구 월계1동 494-7,37.61446986,127.062462,,한전주,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 9,1,서울특별시 노원구 화랑로43길4-5,서울특별시 노원구 월계1동 479-38,37.61444067,127.062661,,건축물,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 10,1,서울특별시 노원구 화랑로43가길7,서울특별시 노원구 월계1동 494-2,37.61459656,127.0625444,,건축물,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 11,1,서울특별시 노원구 화랑로43가길 13-1,서울특별시 노원구 월계1동 493-22,37.61486915,127.0626113,,건축물,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 12,1,서울특별시 노원구 화랑로43가길17,서울특별시 노원구 월계1동 51-11,37.61500912,127.0626775,,한전주,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 13,1,서울특별시 노원구 화랑로43가길 29,서울특별시 노원구 월계동 51-5,37.6150261,127.0633511,,전용주,02-2116-4161,서울특별시 노원구청,2026-04-10
월계1동 14,1,,서울특별시 노원구 월계1동 51-2,37.61461786,127.0624582,,건축물,02-2116-4161,서울특별시 노원구청,2026-04-10
