보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
11-17-01,1,서울특별시 도봉구 창제3동 516-13,서울특별시 도봉구 창제3동 516-13,37.6319590,127.040979,2008,전용주,02-2091-4083,도봉구청,2018-05-01
11-18-10,1,서울특별시 도봉구 우이천로 120,서울특별시 도봉구 창제3동 504-33,37.6321040,127.040740,2014,한전주,02-2091-4083,도봉구청,2018-05-01
11-17-38,1,서울특별시 도봉구 우이천로2길,서울특별시 도봉구 창제3동 504-33,37.6322300,127.042325,2013,한전주,02-2091-4083,도봉구청,2018-05-01
11-18-09,1,서울특별시 도봉구 우이천로 120,서울특별시 도봉구 창제3동 504-33,37.6323750,127.040331,2014,한전주,02-2091-4083,도봉구청,2018-05-01
11-17-39,1,서울특별시 도봉구 우이천로4라길 34,서울특별시 도봉구 창제3동 504-30,37.6325540,127.042143,2013,한전주,02-2091-4083,도봉구청,2018-05-01
11-17-40,1,서울특별시 도봉구 우이천로4라길 30,서울특별시 도봉구 창제3동 504-29,37.6326900,127.041826,2007,전용주,02-2091-4083,도봉구청,2018-05-01
11-18-08,1,서울특별시 도봉구 우이천로 132,서울특별시 도봉구 창제3동 518-16,37.6326980,127.040120,2014,한전주,02-2091-4083,도봉구청,2018-05-01
11-17-42,1,서울특별시 도봉구 우이천로4라길26,서울특별시 도봉구 창제3동 504-26,37.6329060,127.041917,2013,한전주,02-2091-4083,도봉구청,2018-05-01
11-17-25,1,서울특별시 도봉구 창제3동 518-11,서울특별시 도봉구 창제3동 518-11,37.6329490,127.040132,2008,건축물,02-2091-4083,도봉구청,2018-05-01
11-14-06,1,서울특별시 도봉구 덕릉로60길 164-23,서울특별시 도봉구 창제3동 504-8,37.6329510,127.042268,2008,건축물,02-2091-4083,도봉구청,2018-05-01
11-17-26,1,서울특별시 도봉구 창제3동 518-10,서울특별시 도봉구 창제3동 518-10,37.6330810,127.040015,2007,건축물,02-2091-4083,도봉구청,2018-05-01
11-17-24,1,서울특별시 도봉구 우이천로4길 12-6,서울특별시 도봉구 창제3동 509,37.6331950,127.040354,2006,건축물,02-2091-4083,도봉구청,2018-05-01
11-17-23,1,서울특별시 도봉구 창제3동 518-43,서울특별시 도봉구 창제3동 518-43,37.6334050,127.040215,2007,건축물,02-2091-4083,도봉구청,2018-05-01
11-17-07,1,서울특별시 도봉구 창제3동 518-2,서울특별시 도봉구 창제3동 518-2,37.6334820,127.039644,2008,건축물,02-2091-4083,도봉구청,2018-05-01
11-17-41,1,서울특별시 도봉구 우이천로4길 20,서울특별시 도봉구 창제3동 505-8,37.6335190,127.040818,2008,한전주,02-2091-4083,도봉구청,2018-05-01
