보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-001,1,서울특별시 동작구 장승배기로128,서울특별시 동작구 노량진동 231-4,37.50894894,126.9407441,2011,한전주,02-820-1408,서울특별시 동작구청,2026-02-27
01-002,1,서울특별시 동작구 장승배기로128,서울특별시 동작구 노량진동 231-4,37.50894894,126.9407441,2011,한전주,02-820-1408,서울특별시 동작구청,2026-02-27
01-003,1,서울특별시 동작구 장승배기로20길 15,서울특별시 동작구 노량진동 230-39,37.50887927,126.9408839,2011,건축물,02-820-1408,서울특별시 동작구청,2026-02-27
01-004,1,서울특별시 동작구 장승배기로22길 23,서울특별시 동작구 노량진동 232-247,37.5093114,126.9412103,2011,한전주,02-820-1408,서울특별시 동작구청,2026-02-27
01-005,1,서울특별시 동작구 장승배기로22길 22,서울특별시 동작구 노량진동 231-104,37.50918695,126.9408101,2011,건축물,02-820-1408,서울특별시 동작구청,2026-02-27
01-006,1,서울특별시 동작구 장승배기로22길 15,서울특별시 동작구 노량진동 232-155,37.5094379,126.9409723,2011,한전주,02-820-1408,서울특별시 동작구청,2026-02-27
01-007,1,서울특별시 동작구 장승배기로22길 15-4,서울특별시 동작구 노량진동 232-35,37.50956638,126.941199,2011,건축물,02-820-1408,서울특별시 동작구청,2026-02-27
01-008,1,서울특별시 동작구 장승배기로22길 12-1,서울특별시 동작구 노량진동 231-159,37.50945953,126.9405695,2011,건축물,02-820-1408,서울특별시 동작구청,2026-02-27
01-009,1,서울특별시 동작구 장승배기로22길 7,서울특별시 동작구 노량진동 232-291,37.5097196,126.9406146,2011,한전주,02-820-1408,서울특별시 동작구청,2026-02-27
01-010,1,서울특별시 동작구 장승배기로22길 9-6,서울특별시 동작구 노량진동 232-293,37.50975317,126.9407305,2011,건축물,02-820-1408,서울특별시 동작구청,2026-02-27
01-011,1,서울특별시 동작구 장승배기로22길 11-2,서울특별시 동작구 노량진동 232-232,37.50963158,126.9408296,2011,건축물,02-820-1408,서울특별시 동작구청,2026-02-27
01-012,1,서울특별시 동작구 장승배기로22길 21-5,서울특별시 동작구 노량진동 232-244,37.5094652,126.9412519,2011,한전주,02-820-1408,서울특별시 동작구청,2026-02-27
01-013,1,서울특별시 동작구 장승배기로20다길 2,서울특별시 동작구 노량진동 232-167,37.50954745,126.9416039,2011,전용주,02-820-1408,서울특별시 동작구청,2026-02-27
01-014,1,서울특별시 동작구 장승배기로20다길 6,서울특별시 동작구 노량진동 232-109,37.50961839,126.9414828,2011,전용주,02-820-1408,서울특별시 동작구청,2026-02-27
01-015,1,서울특별시 동작구 장승배기로20다길 10,서울특별시 동작구 노량진동 232-9,37.50983832,126.9414588,2011,건축물,02-820-1408,서울특별시 동작구청,2026-02-27
