보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
공덕1동 01-01,1,서울특별시 마포구 만리재로12나길 18,서울특별시 마포구 공덕1동 11-56,,,,전용주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-02,1,서울특별시 마포구 효창원로95길 24-5,서울특별시 마포구 공덕1동 11-20,,,,전용주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-03,1,서울특별시 마포구 효창원로95길 24-4,서울특별시 마포구 공덕1동 11-16,,,,전용주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-04,1,서울특별시 마포구 효창목5길 18,서울특별시 마포구 공덕1동 11-184,,,,한전주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-05,1,서울특별시 마포구 효창원로95길 16,서울특별시 마포구 공덕1동 10-20,,,,전용주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-07,1,서울특별시 마포구 만리재로12나길 26,서울특별시 마포구 공덕1동 11-5,,,,전용주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-08,1,서울특별시 마포구 만리재로124길 22,서울특별시 마포구 공덕1동 1-89,,,,한전주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-09,1,서울특별시 마포구 만리재로12나길15-3,서울특별시 마포구 공덕1동 11-96,,,,전용주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-10,1,서울특별시 마포구 만리재로12가길 14,서울특별시 마포구 공덕1동 11-29,,,,한전주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-11,1,서울특별시 마포구 만리재로14길 36,서울특별시 마포구 공덕1동 9-75,,,,한전주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-12,1,서울특별시 마포구 만리재로12가길 21,서울특별시 마포구 공덕1동 9-73,,,,한전주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-13,1,서울특별시 마포구 효창원로95길 22,서울특별시 마포구 공덕1동 11-12,,,,건축물,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-14,1,서울특별시 마포구 만리재로12가길 29,서울특별시 마포구 공덕1동 9-48,,,,한전주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-15,1,서울특별시 마포구 만리재로12가길 29-3,서울특별시 마포구 공덕1동 9-47,,,,전용주,02-3153-9776,서울특별시 마포구청,2025-12-09
공덕1동 01-16,1,서울특별시 마포구 만리재로12가길 19,서울특별시 마포구 공덕1동 9-5,,,,건축물,02-3153-9776,서울특별시 마포구청,2025-12-09
