보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
연희동,1,서울특별시 서대문구 연희로11길101-3,서울특별시 서대문구 연희동112-19,37.57041922,126.9272314,,한전주,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 홍제천로6,서울특별시 서대문구 연희동446-88,37.56819611,126.9185409,,건축물,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 성산로7길9-8,서울특별시 서대문구 연희동446-274,37.5680638,126.9188812,,한전주,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 성산로7길19-6,서울특별시 서대문구 연희동446-125,37.56830979,126.9191694,,한전주,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 홍제천로2길3,서울특별시 서대문구 연희동542-15,37.56914991,126.9190848,,한전주,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 홍제천로 16,서울특별시 서대문구 연희동542-41,37.56899128,126.9191379,,한전주,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 성산로255,서울특별시 서대문구 연희동446-76,37.56774546,126.9189858,,한전주,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 성산로7길8,서울특별시 서대문구 연희동446-248,37.56762491,126.9192491,,한전주,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 성산로7길19-46,서울특별시 서대문구 연희동446-111,37.56843056,126.9192188,,건축물,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 홍제천로16-4,서울특별시 서대문구 연희동 542-57,37.56873172,126.9191517,,한전주,02-330-1275,서울특별시 서대문구청,2020-01-01
연희동,1,서울특별시 서대문구 성산로7길19-52,서울특별시 서대문구 연희동446-64,37.56852925,126.9192665,,건축물,02-330-1275,서울특별시 서대문구청,2020-01-01
