보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
장위1동-9,1,서울특별시 성북구 장위로10길 41,,37.61203095,127.0395487,,,02-2241-3593,서울특별시 성북구청,2026-04-13
장위1동-104,1,서울특별시 성북구 장위로16길 35,,37.61261456,127.0412509,,,02-2241-3593,서울특별시 성북구청,2026-04-13
장위2동-9,1,서울특별시 성북구 화랑로35길 7,,37.61181809,127.0575939,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-160,1,서울특별시 성북구 솔샘로6다길 3,,37.60969739,127.0073168,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-161,1,서울특별시 성북구 솔샘로6다길 7,,37.60990542,127.0073642,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-162,1,서울특별시 성북구 솔샘로6다길 13,,37.61013066,127.0074721,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-163,1,서울특별시 성북구 솔샘로6라길 9-2,,37.61011245,127.0077023,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-164,1,서울특별시 성북구 솔샘로6라길 9-2,,37.61011245,127.0077023,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-165,1,서울특별시 성북구 보국문로17길 31,,37.61028952,127.0073343,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-166,1,서울특별시 성북구 정릉로21가길 10-17,,37.60744038,127.0090123,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-167,1,서울특별시 성북구 보국문로17길 38,,37.61023988,127.0071843,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-168,1,서울특별시 성북구 솔샘로6가길 31,,37.61026855,127.0068915,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-169,1,서울특별시 성북구 솔샘로16길 35-12,,37.61037578,127.0067354,,,02-2241-3593,서울특별시 성북구청,2026-04-13
장위2동-10,1,서울특별시 성북구 돌곶이로 88-13,,37.61166278,127.0571993,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-170,1,서울특별시 성북구 솔샘로16길 35-5,,37.61051175,127.0064341,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-171,1,서울특별시 성북구 솔샘로16길 31-1,,37.61065367,127.0062663,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-172,1,서울특별시 성북구 솔샘로16길 31-3,,37.61064645,127.0064212,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-173,1,서울특별시 성북구 솔샘로16길 31-9,,37.61065481,127.0067634,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-174,1,서울특별시 성북구 솔샘로6가길 42,,37.61066965,127.007196,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-175,1,서울특별시 성북구 솔샘로6가길 46,,37.61100258,127.0069352,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-176,1,서울특별시 성북구 솔샘로6가길 46,,37.61100258,127.0069352,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-177,1,서울특별시 성북구 보국문로17길 25,,37.61048817,127.007532,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-178,1,서울특별시 성북구 보국문로17길 18-6,,37.61124629,127.0071238,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-179,1,서울특별시 성북구 솔샘로18길 54,,37.61046048,127.0079848,,,02-2241-3593,서울특별시 성북구청,2026-04-13
장위2동-11,1,서울특별시 성북구 돌곶이로 88-9,,37.61165058,127.0570875,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-180,1,서울특별시 성북구 솔샘로18길 58,,37.61034073,127.0081711,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-181,1,서울특별시 성북구 솔샘로18길 33,,37.61135563,127.0078018,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-182,1,서울특별시 성북구 솔샘로18길 28,,37.6116463,127.0075514,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-183,1,서울특별시 성북구 솔샘로15다길 35,,37.610668,127.0040982,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-184,1,서울특별시 성북구 솔샘로18길 17,,37.61214382,127.0077446,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-185,1,서울특별시 성북구 솔샘로18길 13,,37.6122268,127.0076986,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-186,1,서울특별시 성북구 솔샘로18길 10,,37.61217654,127.0074924,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-187,1,서울특별시 성북구 솔샘로18길 10,,37.61217654,127.0074924,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-188,1,서울특별시 성북구 보국문로17길 18-6,,37.61124629,127.0071238,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-189,1,서울특별시 성북구 보국문로17길 18-6,,37.61124629,127.0071238,,,02-2241-3593,서울특별시 성북구청,2026-04-13
장위2동-12,1,서울특별시 성북구 돌곶이로 88-7,,37.61153106,127.0569886,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-190,1,서울특별시 성북구 보국문로17길 18-6,,37.61124629,127.0071238,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-191,1,서울특별시 성북구 보국문로17길 18-6,,37.61124629,127.0071238,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-192,1,서울특별시 성북구 솔샘로6가길 57,,37.6107416,127.0062801,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-193,1,서울특별시 성북구 솔샘로6가길 54-6,,37.61103946,127.0064746,,,02-2241-3593,서울특별시 성북구청,2026-04-13
정릉3동-194,1,서울특별시 성북구 솔샘로16길 28,,37.61084407,127.0058735,,,02-2241-3593,서울특별시 성북구청,2026-04-13
