보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
장지천-001,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-002,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-003,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-004,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-005,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-006,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-007,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-008,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-009,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-010,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-011,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-012,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-013,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-014,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-015,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-016,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-017,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-018,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-019,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-020,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-021,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-022,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-023,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
장지천-024,1,서울특별시 송파구 탄천동로,서울특별시 송파구 장지동,,,,,02-2147-3328,서울특별시 송파구청,2022-12-13
