보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-001,1,,서울특별시 양천구 목1동 405-293,37.524401,126.872987,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-002,1,,서울특별시 양천구 목1동 404-108,37.523190,126.877338,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-004,1,,서울특별시 양천구 목1동 404-28,37.523029,126.877532,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-005,1,,서울특별시 양천구 목1동 404-63,37.522812,126.877388,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-006,1,,서울특별시 양천구 목1동 404-66,37.522605,126.877403,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-007,1,,서울특별시 양천구 목1동 406-125,37.525292,126.871978,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-008,1,,서울특별시 양천구 목1동 406-223,37.525756,126.874312,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-009,1,,서울특별시 양천구 목1동 404-160,37.523889,126.876015,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-010,1,,서울특별시 양천구 목1동 404-160,37.523889,126.876015,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-011,1,,서울특별시 양천구 목1동 936 진도아파트 입구,37.525706,126.873815,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-012,1,,서울특별시 양천구 목1동 404-78건너,37.523268,126.876058,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-013,1,,서울특별시 양천구 목1동 404-81건너,37.522997,126.876006,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-014,1,,서울특별시 양천구 목1동 404-83건너,37.522825,126.875963,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-015,1,,서울특별시 양천구 목1동 404-84건너,37.522627,126.875921,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-017,1,,서울특별시 양천구 목1동 404-81건너,37.522997,126.876006,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-018,1,,서울특별시 양천구 목1동 404-94,37.522607,126.875751,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-019,1,,서울특별시 양천구 목1동 404-60,37.522425,126.877406,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-020,1,,서울특별시 양천구 목1동 408-58,37.524513,126.867736,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-021,1,,서울특별시 양천구 목1동 404-130,37.523182,126.875607,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-022,1,,서울특별시 양천구 목1동 404-127,37.522805,126.875692,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-023,1,,서울특별시 양천구 목1동 404-119,37.522641,126.875479,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-024,1,,서울특별시 양천구 목1동 404-137 주차장,37.523307,126.875458,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-025,1,,서울특별시 양천구 목1동 404-134,37.522866,126.875544,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-026,1,,서울특별시 양천구 목1동 408-219,37.524705,126.868049,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-027,1,,서울특별시 양천구 목1동 404-143,37.522657,126.875332,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-033,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,37.525168,126.875950,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-034,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,37.525168,126.875950,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-035,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,37.525168,126.875950,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-036,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,37.525168,126.875950,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-037,1,,서울특별시 양천구 목1동 404-83,37.522825,126.875963,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-038,1,,서울특별시 양천구 목1동 405-290,37.524102,126.871882,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-041,1,,서울특별시 양천구 목1동 406-25건너,37.525641,126.875434,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-042,1,,서울특별시 양천구 목1동 406-203,37.525751,126.874742,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-043,1,,서울특별시 양천구 목1동 406-271,37.525208,126.875373,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-045,1,,서울특별시 양천구 목1동 406-35,37.525077,126.873067,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-046,1,,서울특별시 양천구 목1동 406-296,37.524882,126.875231,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-047,1,,서울특별시 양천구 목1동 406-180,37.524807,126.874938,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-048,2,,서울특별시 양천구 목1동 406-36,37.525276,126.873109,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-049,1,,서울특별시 양천구 목1동 932 목동현대@1차입구,37.526147,126.872791,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-050,1,,서울특별시 양천구 목1동 406-70건너,37.525669,126.872764,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-051,1,,서울특별시 양천구 목1동 406-69건너,37.525695,126.872628,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-052,1,,서울특별시 양천구 목1동 406-66건너,37.525746,126.872265,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-053,1,,서울특별시 양천구 목1동 406-102,37.525424,126.872564,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-054,1,,서울특별시 양천구 목1동 406-112,37.525422,126.872349,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-055,1,,서울특별시 양천구 목1동 406-114,37.525371,126.872712,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-057,1,,서울특별시 양천구 목1동 406-107,37.525589,126.871950,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-061,1,,서울특별시 양천구 목1동 932목동현대APT1차입구,37.526147,126.872791,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-062,1,,서울특별시 양천구 목1동 405-254,37.524283,126.874764,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-071,1,,서울특별시 양천구 목1동 404-156,37.523589,126.875770,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-072,1,,서울특별시 양천구 목1동 404-156,37.523589,126.875770,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-073,1,,서울특별시 양천구 목1동 404-156,37.523589,126.875770,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-074,1,,서울특별시 양천구 목1동 405-86,37.523355,126.874756,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-075,1,,서울특별시 양천구 목1동 405-102,37.523172,126.874544,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-076,1,,서울특별시 양천구 목1동 405-106 앞,37.522928,126.874457,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-078,1,,서울특별시 양천구 목1동 405-253,37.524283,126.874764,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-079,1,,서울특별시 양천구 목1동 405대림APT앞,37.523339,126.874055,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-080,1,,서울특별시 양천구 목1동 405대림APT옆길,37.523339,126.874055,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-081,1,,서울특별시 양천구 목1동 405대림APT옆길,37.523339,126.874055,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-082,1,,서울특별시 양천구 목1동 405대림APT옆길,37.523339,126.874055,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-083,1,,서울특별시 양천구 목1동 405대림APT옆길,37.523339,126.874055,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-084,1,,서울특별시 양천구 목1동 405-241,37.524060,126.874066,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-085,1,,서울특별시 양천구 목1동 408-76,37.524858,126.867063,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-086,1,,서울특별시 양천구 목1동 405-249,37.524351,126.874322,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-087,1,,서울특별시 양천구 목1동 405-238,37.523325,126.872573,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-088,1,,서울특별시 양천구 목1동 405-240,37.524351,126.874322,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-090,1,,서울특별시 양천구 목1동 405-284뒤,37.524454,126.873823,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-091,1,,서울특별시 양천구 목1동 405-360,37.523557,126.873293,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-092,1,,서울특별시 양천구 목1동 405-179,37.524530,126.873267,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-093,1,,서울특별시 양천구 목1동 405-70,37.524087,126.873172,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-094,1,,서울특별시 양천구 목1동 405-334,37.523793,126.873448,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-095,1,,서울특별시 양천구 목1동 405-472,37.523696,126.873699,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-096,1,,서울특별시 양천구 목1동 405-54,37.524103,126.872968,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-097,1,,서울특별시 양천구 목1동 405-72,37.524023,126.873037,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-098,1,,서울특별시 양천구 목1동 405-176,37.524039,126.872845,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-099,1,,서울특별시 양천구 목1동 405-45,37.523079,126.873233,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-100,1,,서울특별시 양천구 목1동 405-57,37.523823,126.872848,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-101,1,,서울특별시 양천구 목1동 405-328,37.523233,126.873389,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-102,2,,서울특별시 양천구 목1동 405-340,37.523734,126.872985,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-103,1,,서울특별시 양천구 목1동 405-239,37.523699,126.873122,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-104,1,,서울특별시 양천구 목1동 405-33,37.523419,126.873024,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-105,1,,서울특별시 양천구 목1동 405-478,37.523463,126.872865,,,02-2620-3647,서울특별시 양천구청,2025-11-20
01-106,1,,서울특별시 양천구 목1동 405-327,37.523239,126.872993,,,02-2620-3647,서울특별시 양천구청,2025-11-20
