보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
당산1동-291-2,1,서울특별시 영등포구 양산로 97-14,서울특별시 영등포구 당산동3가 521-2,37.52480823,126.894003,,건축물,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-458,1,서울특별시 영등포구 대림로27길 12,서울특별시 영등포구 대림동 716-2,37.49483287,126.8983796,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-46,1,서울특별시 영등포구 도림로53길 32-9,서울특별시 영등포구 대림동 741-3,37.49926789,126.9007141,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-460,1,서울특별시 영등포구 대림로27나길 4,서울특별시 영등포구 대림동 718-9,37.49520009,126.8985504,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-462,1,서울특별시 영등포구 대림로29길 13,서울특별시 영등포구 대림동 717,37.49530067,126.8980583,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-463,1,서울특별시 영등포구 대림로29길 8,서울특별시 영등포구 대림동 721-9,37.49582132,126.8985348,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-464,1,서울특별시 영등포구 대림로27나길 11,서울특별시 영등포구 대림동 722-8,37.49580569,126.8979619,,건축물,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-465,1,서울특별시 영등포구 대림로27나길 13,서울특별시 영등포구 대림동 722-7,37.49591052,126.8979154,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-466,1,서울특별시 영등포구 대림로27나길 15,서울특별시 영등포구 대림동 722-5,37.49611343,126.8978059,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-467,1,서울특별시 영등포구 대림로27나길 17-1,서울특별시 영등포구 대림동 722-3,37.49631844,126.897763,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-468,1,서울특별시 영등포구 대림로27나길 19,서울특별시 영등포구 대림동 722-1,37.49649462,126.8976505,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
당산1동-292,1,서울특별시 영등포구 양산로17길 6,서울특별시 영등포구 당산동3가 498,37.52502283,126.8935897,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-469,1,서울특별시 영등포구 대림로31길 7,서울특별시 영등포구 대림동 721,37.49661004,126.8979899,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-47,1,서울특별시 영등포구 도림로53길 32-9,서울특별시 영등포구 대림동 741-3,37.49926789,126.9007141,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-470,1,서울특별시 영등포구 대림로35나길 23,서울특별시 영등포구 대림동 738-11,37.49679383,126.8978674,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-471,1,서울특별시 영등포구 대림로35나길 19,서울특별시 영등포구 대림동 738-15,37.4971115,126.8977399,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-472,2,서울특별시 영등포구 대림로35나길 16,서울특별시 영등포구 대림동 737-3,37.49732233,126.897318,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-473,2,서울특별시 영등포구 대림로33길 11,서울특별시 영등포구 대림동 737-1,37.49754092,126.8972182,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-474,1,서울특별시 영등포구 대림로35나길 11,서울특별시 영등포구 대림동 742-4,37.49779385,126.8974462,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-475,1,서울특별시 영등포구 대림로35나길 8,서울특별시 영등포구 대림동 742-13,37.49801161,126.8970152,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-476,1,서울특별시 영등포구 대림로35나길 4,서울특별시 영등포구 대림동 742-10,37.49830875,126.896898,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-477,1,서울특별시 영등포구 가마산로34길 9,서울특별시 영등포구 대림동 742-23,37.49824938,126.8966977,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
당산1동-293,1,서울특별시 영등포구 양산로17길 6,서울특별시 영등포구 당산동3가 498,37.52502283,126.8935897,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-478,1,서울특별시 영등포구 가마산로34길 9-1,서울특별시 영등포구 대림동 742-22,37.4981465,126.8967214,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-479,1,서울특별시 영등포구 가마산로34길 11,서울특별시 영등포구 대림동 742-21,37.49805051,126.8967791,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-480,1,서울특별시 영등포구 가마산로34길 11-1,서울특별시 영등포구 대림동 742-20,37.49795773,126.8967991,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-481,1,서울특별시 영등포구 가마산로34길 13,서울특별시 영등포구 대림동 742-19,37.49785614,126.8968555,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-482,2,서울특별시 영등포구 가마산로34길 15-1,서울특별시 영등포구 대림동 742-17,37.49765655,126.8969374,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-484,1,서울특별시 영등포구 가마산로34길 19,서울특별시 영등포구 대림동 737-17,37.49737887,126.8970621,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-485,1,서울특별시 영등포구 가마산로34길 19-1,서울특별시 영등포구 대림동 737-16,37.49727476,126.8970963,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-486,1,서울특별시 영등포구 대림로31나길 20,서울특별시 영등포구 대림동 734-1,37.49702667,126.8968501,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-488,2,서울특별시 영등포구 대림로31길 17,서울특별시 영등포구 대림동 723-1,37.49638226,126.8971492,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-489,1,서울특별시 영등포구 도림로41길 27,서울특별시 영등포구 대림동 723-2,37.49624667,126.8971708,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
당산1동-295,1,서울특별시 영등포구 양산로17길 8,서울특별시 영등포구 당산동3가 475,37.52510478,126.8937407,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-490,1,서울특별시 영등포구 도림로41길 25,서울특별시 영등포구 대림동 723-3,37.49604592,126.8972689,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-492,2,서울특별시 영등포구 도림로41길 20,서울특별시 영등포구 대림동 722-10,37.4956286,126.8977951,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-493,1,서울특별시 영등포구 도림로41길 8,서울특별시 영등포구 대림동 716-3,37.49472502,126.898183,,건축물,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-494,1,서울특별시 영등포구 도림로41길 6,서울특별시 영등포구 대림동 710,37.49445791,126.8982791,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-494-1,1,서울특별시 영등포구 도림로41길 8,서울특별시 영등포구 대림동 716-3,37.49472502,126.898183,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-495,2,서울특별시 영등포구 도림로39길 21,서울특별시 영등포구 대림동 713-7,37.49459886,126.8979414,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-496,1,서울특별시 영등포구 도림로39길 19,서울특별시 영등포구 대림동 713-8,37.4944705,126.8977663,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-497,1,서울특별시 영등포구 도림로39길 19,서울특별시 영등포구 대림동 713-8,37.4944705,126.8977663,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-498,1,서울특별시 영등포구 도림로39길 17,서울특별시 영등포구 대림동 713-10,37.49438269,126.8976029,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-499,1,서울특별시 영등포구 도림로39길 15,서울특별시 영등포구 대림동 713-11,37.49432502,126.8974993,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
당산1동-121,1,서울특별시 영등포구 영등포로25길 8-10,서울특별시 영등포구 당산동1가 256-109,37.52181534,126.8984829,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
당산1동-296,1,서울특별시 영등포구 선유동1로 46,서울특별시 영등포구 당산동3가 557-1,37.52569526,126.8927976,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-5,2,서울특별시 영등포구 도림로47길 1,서울특별시 영등포구 대림동 695,37.49561165,126.8999079,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-500,1,서울특별시 영등포구 도림로39길 13-1,서울특별시 영등포구 대림동 713-12,37.49425933,126.8973838,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-501,1,서울특별시 영등포구 도림로39길 13,서울특별시 영등포구 대림동 713-13,37.49415154,126.8972427,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-502,1,서울특별시 영등포구 도림로39길 9,서울특별시 영등포구 대림동 712-4,37.4939944,126.8970325,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-503,1,서울특별시 영등포구 도림로39길 7-2,서울특별시 영등포구 대림동 712-5,37.49394667,126.8968593,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-504,1,서울특별시 영등포구 도림로39길 7-2,서울특별시 영등포구 대림동 712-5,37.49394667,126.8968593,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-505-1,1,서울특별시 영등포구 도림로39길 5,서울특별시 영등포구 대림동 812-11,37.49360092,126.8967148,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-506,1,서울특별시 영등포구 도림로39길 7,서울특별시 영등포구 대림동 812-10,37.49369812,126.8966922,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-507,1,서울특별시 영등포구 도림로39길 7-7,서울특별시 영등포구 대림동 812-6,37.49406288,126.8966264,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-508,1,서울특별시 영등포구 도림로39길 7-11,서울특별시 영등포구 대림동 812-4,37.49424918,126.8965947,,건축물,02-2670-3838,서울특별시 영등포구,2026-05-15
당산1동-296-1,1,서울특별시 영등포구 선유동1로 38,서울특별시 영등포구 당산동3가 552-1,37.52528953,126.8927976,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-51,1,서울특별시 영등포구 도림로47나길 24,서울특별시 영등포구 대림동 746-2,37.49851096,126.9002897,,전용주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-510,1,서울특별시 영등포구 대림로29길 29,서울특별시 영등포구 대림동 804-50,37.49455727,126.8966385,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-511,1,서울특별시 영등포구 대림로29길 27,서울특별시 영등포구 대림동 804-30,37.49470791,126.8967319,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
대림3동-512,2,서울특별시 영등포구 대림로29길 27,서울특별시 영등포구 대림동 804-30,37.49470791,126.8967319,,한전주,02-2670-3838,서울특별시 영등포구,2026-05-15
