보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
남영동1,1,,서울특별시 용산구남영동 53-5,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동10,1,,서울특별시 용산구남영동 49-2,,,2024,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동100,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동101,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동102,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동103,1,,서울특별시 용산구남영동 58-5,,,2016,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동104,1,,서울특별시 용산구남영동 2,,,2019,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동105,1,,서울특별시 용산구남영동 51-2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동106,1,,서울특별시 용산구남영동 102-4,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동107,1,,서울특별시 용산구남영동 51-4,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동108,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동109,1,,서울특별시 용산구남영동 2,,,2019,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동11,1,,서울특별시 용산구남영동 51-16,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동11(남영동369),1,,서울특별시 용산구남영동 51,,,2021,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동110,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동111,1,,서울특별시 용산구남영동 2,,,2019,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동112,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동113,1,,서울특별시 용산구남영동 98-4,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동114,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동115,1,,서울특별시 용산구남영동 87,,,2022,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동116,1,,서울특별시 용산구남영동 99-3,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동117,1,,서울특별시 용산구남영동 98-3,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동118,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동119,1,,서울특별시 용산구남영동 99-1,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동12,1,,서울특별시 용산구남영동 164-16,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동120,1,,서울특별시 용산구남영동 105-4,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동121,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동122,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동123,1,,서울특별시 용산구남영동 2,,,2016,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동124,1,,서울특별시 용산구남영동 89-3,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동125,1,,서울특별시 용산구남영동 89-3,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동126,1,,서울특별시 용산구남영동 88-3,,,2018,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동127,1,,서울특별시 용산구남영동 88-2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동128,1,,서울특별시 용산구남영동 88-3,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동129,1,,서울특별시 용산구남영동 85-1,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동13,1,,서울특별시 용산구남영동 51-6,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동130,1,,서울특별시 용산구남영동 83-1,,,2016,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동131,1,,서울특별시 용산구남영동 96-3,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동132,1,,서울특별시 용산구남영동 107-3,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동133,1,,서울특별시 용산구남영동 101-1,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동134,1,,서울특별시 용산구남영동 100-2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동135,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동136,1,,서울특별시 용산구남영동 101-1,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동137,1,,서울특별시 용산구남영동 100-1,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동138,1,,서울특별시 용산구남영동 2,,,2019,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동139,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동14,1,,서울특별시 용산구남영동 33-2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동140,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동141,1,,서울특별시 용산구남영동 122-2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동142,1,,서울특별시 용산구남영동 122-1,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동143,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동144,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동145,1,,서울특별시 용산구남영동 2,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동146,1,,서울특별시 용산구남영동 108-9,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동147,1,,서울특별시 용산구남영동 114-18,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동148,1,,서울특별시 용산구남영동 114-18,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동149,1,,서울특별시 용산구남영동 114-18,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동15,1,,서울특별시 용산구남영동 44-18,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동150,1,,서울특별시 용산구남영동 69-78,,,2013,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동151,1,,서울특별시 용산구남영동 88-36,,,2018,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동152,1,,서울특별시 용산구남영동 88-22,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동153,1,,서울특별시 용산구남영동 90-10,,,2021,,02-2199-7880,서울특별시 용산구청,2026-06-13
남영동154,1,,서울특별시 용산구남영동 89-3,,,2012,,02-2199-7880,서울특별시 용산구청,2026-06-13
