보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
불광2동,1,서울특별시 은평구 연서로34길 25,,37.62160131,126.9288967,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 25-5,,37.621715,126.928850,2006,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 26,,37.621386,126.9291101,2011,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 26-7,,37.621694,126.9294989,2018,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 290,,37.621423,126.926521,2011,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 30-2,,37.621605,126.929633,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 3-3,,37.622211,126.929874,2011,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 33-3,,37.62216392,126.929513,2004,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 33-8,,37.622515,126.929609,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 35,,37.62213868,126.9298202,2006,,02-351-7944,서울특별시 은평구청,2026-06-30
응암3동,1,서울특별시 은평구 가좌로7라길 25-1,,37.58402736,126.9164446,2007,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 38-4,,37.622017,126.930330,2007,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 38-8,,37.621698,126.930006,2007,,02-351-7944,서울특별시 은평구청,2026-06-30
불광1동,1,서울특별시 은평구 연서로34길 4,,37.621243,126.926836,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광1동,1,서울특별시 은평구 연서로34길 4-13,,37.62080989,126.927108,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 42,,37.622016,126.9308803,2007,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 43,,37.622342,126.930813,2006,,02-351-7944,서울특별시 은평구청,2026-06-30
불광1동,1,서울특별시 은평구 연서로34길 4-8,,37.62099654,126.9267845,2006,,02-351-7944,서울특별시 은평구청,2026-06-30
불광1동,1,서울특별시 은평구 연서로34길 6,,37.621237,126.927052,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광1동,1,서울특별시 은평구 연서로34길 6-11,,37.62075771,126.927517,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광1동,1,서울특별시 은평구 연서로34길 6-12,,37.62069075,126.9273711,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
응암3동,1,서울특별시 은평구 가좌로7라길 29,,37.58373174,126.9165706,2004,,02-351-7944,서울특별시 은평구청,2026-06-30
불광1동,1,서울특별시 은평구 연서로34길 6-3,,37.621115,126.9273014,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광1동,1,서울특별시 은평구 연서로34길 6-5,,37.62102366,126.927343,2007,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 7-5,,37.621522,126.927048,2020,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로34길 7-5,,37.621500,126.9270236,2006,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35가길 7-14,,37.624082,126.925588,2006,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 10,,37.622236,126.9257026,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 12-2,,37.622557,126.926369,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 12-2,,37.622316,126.925590,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 14,,37.622423,126.925510,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 15,,37.62253976,126.9252161,,,02-351-7944,서울특별시 은평구청,2026-06-30
응암3동,1,서울특별시 은평구 가좌로7라길 32-1,,37.583547,126.9163841,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 16,,37.62264822,126.9254711,2004,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 16,,37.62264822,126.925428,2007,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 20,,37.62278625,126.9257613,2011,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 22-1,,37.62282787,126.9260287,2011,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 24-1,,37.62312619,126.926010,2009,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 28,,37.62342349,126.9259924,2005,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 28-1,,37.62350439,126.925812,2006,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 30,,37.6236236,126.9257094,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 30-12,,37.623902,126.925624,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 30-6,,37.62382527,126.9260439,2011,,02-351-7944,서울특별시 은평구청,2026-06-30
응암3동,1,서울특별시 은평구 가좌로7라길 32-1,,37.58351276,126.9163841,2009,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 3-11,,37.621531,126.9255447,2024,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 3-16,,37.62147585,126.9251818,2006,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 3-17,,37.621425,126.9252963,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 3-19,,37.621332,126.925344,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 34,,37.62380077,126.925468,2009,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 34-1,,37.623819,126.9254054,2009,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 36-6,,37.62416492,126.925417,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 36-6,,37.62416492,126.9254409,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 3-7,,37.62151404,126.925725,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 38,,37.62406987,126.925136,2009,,02-351-7944,서울특별시 은평구청,2026-06-30
응암3동,1,서울특별시 은평구 가좌로7라길 33-9,,37.58399505,126.916620,2007,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 39,,37.624274,126.9248946,2007,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 42-1,,37.62432161,126.925132,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 44-1,,37.624412,126.925243,2004,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 47,,37.624784,126.925257,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 6,,37.621824,126.925971,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 7,,37.622046,126.925583,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 7-12,,37.62211562,126.9254316,2020,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 7-14,,37.622188,126.925377,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 8-12,,37.622518,126.926007,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 8-14,,37.62264813,126.926142,2011,,02-351-7944,서울특별시 은평구청,2026-06-30
응암3동,1,서울특별시 은평구 가좌로7라길 34-2,,37.58336905,126.9165127,2020,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 8-6,,37.62235645,126.925965,2008,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로35길 8-7,,37.622396,126.925791,,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 10,,37.624430,126.926183,2005,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 10-1,,37.624500,126.926012,2016,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 10-14,,37.625131,126.926014,2009,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 11-1,,37.624579,126.925705,2016,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 11-10,,37.624838,126.925531,2016,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 11-16,,37.625018,126.925427,2016,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 11-20,,37.62533212,126.925355,2016,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 11-4,,37.62461281,126.925592,2017,,02-351-7944,서울특별시 은평구청,2026-06-30
응암3동,1,서울특별시 은평구 가좌로7라길 35-4,,37.58380127,126.9170443,2011,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 11-4,,37.62461281,126.9255883,2023,,02-351-7944,서울특별시 은평구청,2026-06-30
불광2동,1,서울특별시 은평구 연서로37가길 13,,37.62466272,126.925766,,,02-351-7944,서울특별시 은평구청,2026-06-30
