보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
상봉1동333-6,1,,서울특별시 중랑구 상봉1동 333-6,37.59388002,127.092675,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동222-55,1,,서울특별시 중랑구 상봉1동 222-55,37.59380087,127.0922672,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동333,1,,서울특별시 중랑구 상봉1동 333,37.59375237,127.092079,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동268-36,1,,서울특별시 중랑구 상봉1동 268-36,37.59359564,127.0920171,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동333-5,1,,서울특별시 중랑구 상봉1동 333-5,37.59330749,127.0922702,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동333-10,1,,서울특별시 중랑구 상봉1동 333-10,37.59334104,127.0925754,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동340-3,1,,서울특별시 중랑구 상봉1동 340-3,37.59347375,127.0930403,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동333-3,1,,서울특별시 중랑구 상봉1동 333-3,37.59317564,127.0926524,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동312-1,1,,서울특별시 중랑구 상봉1동 312-1,37.59304595,127.0927097,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동481,1,,서울특별시 중랑구 상봉1동 481,37.59285632,127.0923291,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동309-17,1,,서울특별시 중랑구 상봉1동 309-17,37.59258138,127.0927264,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동307-23,1,,서울특별시 중랑구 상봉1동 307-23,37.59247015,127.0923323,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동307-17,1,,서울특별시 중랑구 상봉1동 307-17,37.59253966,127.0920397,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동309-12,1,,서울특별시 중랑구 상봉1동 309-12,37.59242243,127.0920595,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동307-11,1,,서울특별시 중랑구 상봉1동 307-11,37.59240288,127.0921697,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동305-5,1,,서울특별시 중랑구 상봉1동 305-5,37.59226226,127.0925983,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동309-6,1,,서울특별시 중랑구 상봉1동 309-6,37.59229896,127.0927926,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동308-7,1,,서울특별시 중랑구 상봉1동 308-7,37.59209237,127.0920936,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-7,1,,서울특별시 중랑구 상봉1동 314-7,37.59193935,127.0921305,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-44,1,,서울특별시 중랑구 상봉1동 314-44,37.5920775,127.0917548,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-4,1,,서울특별시 중랑구 상봉1동 314-4,37.59186221,127.0916828,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-14,1,,서울특별시 중랑구 상봉1동 314-14,37.58383649,127.0934619,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-31,1,,서울특별시 중랑구 상봉1동 314-31,37.59230752,127.0910575,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-24,1,,서울특별시 중랑구 상봉1동 315-24,37.59221412,127.0907847,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-13,1,,서울특별시 중랑구 상봉1동 314-13,37.59221412,127.0907847,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-45,1,,서울특별시 중랑구 상봉1동 314-45,37.5924307,127.0903345,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-21,1,,서울특별시 중랑구 상봉1동 315-21,37.59241455,127.0902382,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-23,1,,서울특별시 중랑구 상봉1동 315-23,37.59268449,127.0900092,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-30,1,,서울특별시 중랑구 상봉1동 315-30,37.59262543,127.0906561,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동324-5,1,,서울특별시 중랑구 상봉1동 324-5,37.59232941,127.091177,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-3,1,,서울특별시 중랑구 상봉1동 315-3,37.59224732,127.091184,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-70,1,,서울특별시 중랑구 상봉1동 315-70,37.59249736,127.0914098,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-64,1,,서울특별시 중랑구 상봉1동 315-64,37.59182733,127.0911211,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-1,1,,서울특별시 중랑구 상봉1동 315-1,37.59187213,127.0907412,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-49,1,,서울특별시 중랑구 상봉1동 315-49,37.59201783,127.0907354,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-46,1,,서울특별시 중랑구 상봉1동 315-46,37.59187213,127.0907412,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-19,1,,서울특별시 중랑구 상봉1동 314-19,37.59193967,127.0902062,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동314-3,1,,서울특별시 중랑구 상봉1동 314-3,37.59212749,127.0905464,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동308-1,1,,서울특별시 중랑구 상봉1동 308-1,37.592360,127.0901734,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-42,1,,서울특별시 중랑구 상봉1동 200-42,37.59212496,127.0902602,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-109,1,,서울특별시 중랑구 상봉1동 200-109,37.59230232,127.0897211,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-5,1,,서울특별시 중랑구 상봉1동 315-5,37.59223652,127.089878,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-189,1,,서울특별시 중랑구 상봉1동 190-189,37.59261979,127.0895454,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-190,1,,서울특별시 중랑구 상봉1동 190-190,37.59280458,127.0897781,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-16,1,,서울특별시 중랑구 상봉1동 315-16,37.59283312,127.0901611,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-40,1,,서울특별시 중랑구 상봉1동 315-40,37.59289874,127.0905966,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-38,1,,서울특별시 중랑구 상봉1동 315-38,37.59289733,127.0910281,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동315-35,1,,서울특별시 중랑구 상봉1동 315-35,37.59310547,127.0911362,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-156,1,,서울특별시 중랑구 상봉1동 190-156,37.59290266,127.0911203,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-193,1,,서울특별시 중랑구 상봉1동 190-193,37.59280276,127.0911069,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동154-22,1,,서울특별시 중랑구 상봉1동 154-22,37.59261281,127.0911288,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-153,1,,서울특별시 중랑구 상봉1동 190-153,37.59262508,127.0909849,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-152,1,,서울특별시 중랑구 상봉1동 190-152,37.5926622,127.0915686,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-150,1,,서울특별시 중랑구 상봉1동 190-150,37.59278277,127.091548,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-148,1,,서울특별시 중랑구 상봉1동 190-148,37.59309429,127.0914941,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동190-145,1,,서울특별시 중랑구 상봉1동 190-145,37.59322734,127.0918688,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-63,1,,서울특별시 중랑구 상봉1동 200-63,37.59291054,127.0918877,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-66,1,,서울특별시 중랑구 상봉1동 200-66,37.59356784,127.0916269,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-45,1,,서울특별시 중랑구 상봉1동 200-45,37.59346355,127.091453,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-33,1,,서울특별시 중랑구 상봉1동 200-33,37.59342004,127.0910815,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-40,1,,서울특별시 중랑구 상봉1동 200-40,,,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-4,1,,서울특별시 중랑구 상봉1동 200-4,37.59340457,127.0904694,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-13,1,,서울특별시 중랑구 상봉1동 200-13,37.59239208,127.0915759,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동304-16,1,,서울특별시 중랑구 상봉1동 304-16,37.59323098,127.0899497,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동305-1,1,,서울특별시 중랑구 상봉1동 305-1,37.59301267,127.0898319,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동307-8,1,,서울특별시 중랑구 상봉1동 307-8,37.59284322,127.0888531,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동304-24,1,,서울특별시 중랑구 상봉1동 304-24,37.59291231,127.0882643,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동304-18,1,,서울특별시 중랑구 상봉1동 304-18,37.59273498,127.0885341,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동304-3,1,,서울특별시 중랑구 상봉1동 304-3,37.5927418,127.0879695,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동304-1,1,,서울특별시 중랑구 상봉1동 304-1,37.59246408,127.0883666,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동205-23,1,,서울특별시 중랑구 상봉1동 205-23,37.5921906,127.0881627,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동205-48,1,,서울특별시 중랑구 상봉1동 205-48,37.59291198,127.0881126,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동205-46,1,,서울특별시 중랑구 상봉1동 205-46,37.59257636,127.0878719,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동205-18,1,,서울특별시 중랑구 상봉1동 205-18,37.59223801,127.0877804,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동205-19,1,,서울특별시 중랑구 상봉1동 205-19,37.59385533,127.0925673,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-1,1,,서울특별시 중랑구 상봉1동 200-1,37.59214537,127.0893615,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-26,1,,서울특별시 중랑구 상봉1동 200-26,37.5920792,127.0890611,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
상봉1동200-24,1,,서울특별시 중랑구 상봉1동 200-24,37.59238604,127.0893512,,,02-2094-2683,서울특별시 중랑구청,2026-02-26
